Project Name,Package Name,Type Name,Code Smell
codellama_correct,(default package),Connector,Unutilized Abstraction
codellama_correct,(default package),StorageService,Deficient Encapsulation
codellama_correct,(default package),FunctionParser,Unutilized Abstraction
codellama_correct,(default package),JDBCSampler,Multifaceted Abstraction
codellama_correct,(default package),PoolConfigGui,Unutilized Abstraction
codellama_correct,(default package),ConcurrentOpenHashMap,Unutilized Abstraction
codellama_correct,(default package),Section,Unnecessary Abstraction
codellama_correct,(default package),Section,Unutilized Abstraction
codellama_correct,(default package),MessageStoreConfig,Broken Modularization
codellama_correct,(default package),BrokerOuterAPI,Unutilized Abstraction
codellama_correct,(default package),DefaultMQPushConsumer,Deficient Encapsulation
codellama_correct,(default package),StatsBenchmarkConsumer,Unutilized Abstraction
codellama_correct,(default package),AbstractUnfilteredRowIterator,Unutilized Abstraction
codellama_correct,(default package),RowAndDeletionMergeIterator,Unutilized Abstraction
codellama_correct,(default package),IFailureDetectionEventListener,Unutilized Abstraction
codellama_correct,(default package),IEndpointStateChangeSubscriber,Unutilized Abstraction
codellama_correct,(default package),GossipDigest,Unutilized Abstraction
codellama_correct,(default package),GossipDigestSyn,Unutilized Abstraction
codellama_correct,(default package),GossipTask,Unutilized Abstraction
codellama_correct,(default package),DebuggableScheduledThreadPoolExecutor,Unutilized Abstraction
codellama_correct,(default package),GossiperMBean,Unutilized Abstraction
codellama_correct,(default package),ServiceConfig,Unutilized Abstraction
codellama_correct,(default package),WebServer,Unutilized Abstraction
codellama_correct,(default package),ProxyRolesEnforcementTest,Unutilized Abstraction
codellama_correct,(default package),ProxyAuthenticationTest,Unutilized Abstraction
codellama_correct,(default package),BasicAuthenticationData,Unutilized Abstraction
codellama_correct,(default package),StreamInSession,Unutilized Abstraction
codellama_correct,(default package),has,Broken Modularization
codellama_correct,(default package),StreamOutSession,Unutilized Abstraction
codellama_correct,(default package),RemoveTest,Unutilized Abstraction
codellama_correct,(default package),RemoveTest,Deficient Encapsulation
codellama_correct,(default package),ReplicationSink,Unutilized Abstraction
codellama_correct,(default package),NotificationSink,Unutilized Abstraction
codellama_correct,(default package),NotificationSink,Deficient Encapsulation
codellama_correct,(default package),GossipTask,Unutilized Abstraction
codellama_correct,(default package),CassandraServer,Unutilized Abstraction
codellama_correct,(default package),DatabaseDescriptor,Broken Modularization
codellama_correct,(default package),TesterContext,Unutilized Abstraction
codellama_correct,(default package),TesterContext,Insufficient Modularization
codellama_correct,(default package),AccessLogValve,Multifaceted Abstraction
codellama_correct,(default package),AccessLogValve,Unutilized Abstraction
codellama_correct,(default package),AccessLogValve,Insufficient Modularization
codellama_correct,(default package),V1_AdminApiTest2,Unutilized Abstraction
codellama_correct,(default package),AdminApiSchemaTest,Unutilized Abstraction
codellama_correct,(default package),Foo,Unnecessary Abstraction
codellama_correct,(default package),Foo1,Unnecessary Abstraction
codellama_correct,(default package),Foo1,Unutilized Abstraction
codellama_correct,(default package),DefaultCompletedCheckpointStoreTest,Unutilized Abstraction
codellama_correct,(default package),CheckpointsCleaner,Unutilized Abstraction
codellama_correct,(default package),TestingRetrievableStateStorageHelper,Unutilized Abstraction
codellama_correct,(default package),TestingStateHandle,Unutilized Abstraction
codellama_correct,(default package),CheckpointProperties,Unnecessary Abstraction
codellama_correct,(default package),MemoryParameterOverridingAppenderatorConfig,Unutilized Abstraction
codellama_correct,(default package),SinkQuerySegmentWalker,Unutilized Abstraction
codellama_correct,(default package),SinkQueryRunner,Unutilized Abstraction
codellama_correct,(default package),TestCluster,Unutilized Abstraction
codellama_correct,(default package),SchemaChangeMonitor,Unutilized Abstraction
codellama_correct,(default package),RMContainerTokenSecretManager,Unutilized Abstraction
codellama_correct,(default package),MasterKeyRoller,Unutilized Abstraction
codellama_correct,(default package),NextKeyActivator,Unutilized Abstraction
codellama_correct,(default package),ResponseAssertionTest,Unutilized Abstraction
codellama_correct,(default package),AbstractCellNameType,Unutilized Abstraction
codellama_correct,(default package),AbstractCellNameType,Insufficient Modularization
codellama_correct,(default package),UtilAll,Multifaceted Abstraction
codellama_correct,(default package),UtilAll,Deficient Encapsulation
codellama_correct,(default package),BaseNCodec,Unutilized Abstraction
codellama_correct,(default package),BaseNCodec,Deficient Encapsulation
codellama_correct,(default package),Base64,Unnecessary Abstraction
codellama_correct,(default package),Base64,Unutilized Abstraction
codellama_correct,(default package),OpenSSLEngine,Unutilized Abstraction
codellama_correct,(default package),OpenSSLEngine,Deficient Encapsulation
codellama_correct,(default package),RuntimeUtils,Unutilized Abstraction
codellama_correct,(default package),RuntimeUtils,Deficient Encapsulation
