Project Name,Package Name,Type Name,Method Name,Code Smell
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,StructuredRelDataType,Long Statement
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,create,Long Statement
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,createSqlIdentifier,Long Statement
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,createRelDataTypeComparability,Missing default
codellama_correct,(default package),FunctionParser,compileString,Complex Conditional
codellama_correct,(default package),FunctionParser,compileString,Complex Method
codellama_correct,(default package),FunctionParser,makeFunction,Complex Method
codellama_correct,(default package),FunctionParser,makeFunction,Magic Number
codellama_correct,(default package),PoolConfigGui,init,Magic Number
codellama_correct,(default package),PoolConfigGui,createConnPanel,Magic Number
codellama_correct,(default package),PoolConfigGui,createConnPanel,Magic Number
codellama_correct,(default package),PoolConfigGui,createMaxUsePanel,Magic Number
codellama_correct,(default package),PoolConfigGui,createMaxUsePanel,Magic Number
codellama_correct,(default package),ConcurrentOpenHashMap,getSection,Magic Number
codellama_correct,(default package),ScheduleMessageService,computeDeliverTimestamp,Magic Number
codellama_correct,(default package),ScheduleMessageService,start,Magic Number
codellama_correct,(default package),ScheduleMessageService,decode,Long Statement
codellama_correct,(default package),ScheduleMessageService,parseDelayLevel,Magic Number
codellama_correct,(default package),ScheduleMessageService,parseDelayLevel,Magic Number
codellama_correct,(default package),ScheduleMessageService,parseDelayLevel,Magic Number
codellama_correct,(default package),ScheduleMessageService,parseDelayLevel,Magic Number
codellama_correct,(default package),ScheduleMessageService,parseDelayLevel,Magic Number
codellama_correct,(default package),ScheduleMessageService,parseDelayLevel,Magic Number
codellama_correct,(default package),ScheduleMessageService,parseDelayLevel,Magic Number
codellama_correct,(default package),ScheduleMessageService,parseDelayLevel,Magic Number
codellama_correct,(default package),ScheduleMessageService,parseDelayLevel,Magic Number
codellama_correct,(default package),ScheduleMessageService,parseDelayLevel,Magic Number
codellama_correct,(default package),BrokerOuterAPI,registerBrokerAll,Long Parameter List
codellama_correct,(default package),BrokerOuterAPI,registerBrokerAll,Long Statement
codellama_correct,(default package),BrokerOuterAPI,registerBroker,Empty catch clause
codellama_correct,(default package),BrokerOuterAPI,registerBroker,Long Parameter List
codellama_correct,(default package),BrokerOuterAPI,registerBroker,Long Statement
codellama_correct,(default package),Consumer,main,Long Statement
codellama_correct,(default package),Consumer,main,Long Statement
codellama_correct,(default package),Consumer,main,Magic Number
codellama_correct,(default package),Consumer,main,Magic Number
codellama_correct,(default package),Consumer,main,Magic Number
codellama_correct,(default package),Consumer,main,Magic Number
codellama_correct,(default package),Consumer,main,Magic Number
codellama_correct,(default package),Consumer,main,Magic Number
codellama_correct,(default package),Consumer,main,Magic Number
codellama_correct,(default package),Consumer,main,Magic Number
codellama_correct,(default package),Consumer,main,Magic Number
codellama_correct,(default package),Consumer,main,Magic Number
codellama_correct,(default package),Consumer,main,Magic Number
codellama_correct,(default package),Consumer,run,Magic Number
codellama_correct,(default package),Consumer,printStats,Long Statement
codellama_correct,(default package),Consumer,printStats,Magic Number
codellama_correct,(default package),Consumer,printStats,Magic Number
codellama_correct,(default package),Consumer,printStats,Magic Number
codellama_correct,(default package),Consumer,printStats,Magic Number
codellama_correct,(default package),Consumer,printStats,Magic Number
codellama_correct,(default package),StatsBenchmarkConsumer,createSnapshot,Long Statement
codellama_correct,(default package),AbstractUnfilteredRowIterator,AbstractUnfilteredRowIterator,Long Parameter List
codellama_correct,(default package),AbstractUnfilteredRowIterator,next,Long Parameter List
codellama_correct,(default package),RowAndDeletionMergeIterator,RowAndDeletionMergeIterator,Long Parameter List
codellama_correct,(default package),DebuggableScheduledThreadPoolExecutor,DebuggableScheduledThreadPoolExecutor,Long Parameter List
codellama_correct,(default package),WebServer,WebServer,Long Statement
codellama_correct,(default package),WebServer,WebServer,Magic Number
codellama_correct,(default package),WebServer,addServlet,Long Statement
codellama_correct,(default package),ProxyRolesEnforcementTest,testIncorrectRoles,Long Statement
codellama_correct,(default package),ProxyRolesEnforcementTest,testIncorrectRoles,Long Statement
codellama_correct,(default package),ProxyRolesEnforcementTest,testIncorrectRoles,Long Statement
codellama_correct,(default package),ProxyRolesEnforcementTest,createAdminClient,Long Statement
codellama_correct,(default package),ProxyService,ProxyService,Long Statement
codellama_correct,(default package),ProxyService,start,Long Statement
codellama_correct,(default package),ProxyService,start,Magic Number
codellama_correct,(default package),ProxyService,start,Magic Number
codellama_correct,(default package),ProxyService,start,Magic Number
codellama_correct,(default package),ProxyService,start,Magic Number
codellama_correct,(default package),ProxyService,start,Magic Number
codellama_correct,(default package),ProxyAuthenticationTest,configure,Long Statement
codellama_correct,(default package),BasicAuthentication,configure,Long Statement
codellama_correct,(default package),StreamOutSession,validateCurrentFile,Long Statement
codellama_correct,(default package),RemoveTest,setup,Magic Number
codellama_correct,(default package),RemoveTest,setup,Magic Number
codellama_correct,(default package),RemoveTest,testBadToken,Magic Number
codellama_correct,(default package),RemoveTest,testRemoveToken,Magic Number
codellama_correct,(default package),RemoveTest,testRemoveToken,Magic Number
codellama_correct,(default package),RemoveTest,testRemoveToken,Magic Number
codellama_correct,(default package),RemoveTest,testStartRemoving,Long Statement
codellama_correct,(default package),RemoveTest,testStartRemoving,Magic Number
codellama_correct,(default package),RemoveTest,testStartRemoving,Magic Number
codellama_correct,(default package),RemoveTest,testFinishRemoving,Long Statement
codellama_correct,(default package),RemoveTest,testFinishRemoving,Magic Number
codellama_correct,(default package),RemoveTest,testFinishRemoving,Magic Number
codellama_correct,(default package),RemoveTest,testFinishRemoving,Magic Number
codellama_correct,(default package),Gossiper,Gossiper,Magic Number
codellama_correct,(default package),Gossiper,Gossiper,Magic Number
codellama_correct,(default package),CassandraServer,get_slice,Long Parameter List
codellama_correct,(default package),V1_AdminApiTest2,setup,Long Statement
codellama_correct,(default package),V1_AdminApiTest2,setup,Long Statement
codellama_correct,(default package),V1_AdminApiTest2,setup,Long Statement
codellama_correct,(default package),V1_AdminApiTest2,testIncrementPartitionsOfTopic,Long Statement
codellama_correct,(default package),V1_AdminApiTest2,testIncrementPartitionsOfTopic,Magic Number
codellama_correct,(default package),V1_AdminApiTest2,testIncrementPartitionsOfTopic,Magic Number
codellama_correct,(default package),V1_AdminApiTest2,testIncrementPartitionsOfTopic,Magic Number
codellama_correct,(default package),V1_AdminApiTest2,testIncrementPartitionsOfTopic,Magic Number
codellama_correct,(default package),V1_AdminApiTest2,testIncrementPartitionsOfTopic,Magic Number
codellama_correct,(default package),V1_AdminApiTest2,testIncrementPartitionsOfTopic,Magic Number
codellama_correct,(default package),V1_AdminApiTest2,testIncrementPartitionsOfTopic,Magic Number
codellama_correct,(default package),V1_AdminApiTest2,testIncrementPartitionsOfTopic,Magic Number
codellama_correct,(default package),AdminApiSchemaTest,schemas,Long Statement
codellama_correct,(default package),DefaultCompletedCheckpointStoreTest,testOlderSavepointSubsumed,Magic Number
codellama_correct,(default package),DefaultCompletedCheckpointStoreTest,testOlderSavepointSubsumed,Magic Number
codellama_correct,(default package),DefaultCompletedCheckpointStoreTest,testSubsumeAfterStoppingWithSavepoint,Magic Number
codellama_correct,(default package),DefaultCompletedCheckpointStoreTest,testSubsumeAfterStoppingWithSavepoint,Magic Number
codellama_correct,(default package),DefaultCompletedCheckpointStoreTest,testNotSubsumedIfNotNeeded,Magic Number
codellama_correct,(default package),DefaultCompletedCheckpointStoreTest,testNotSubsumedIfNotNeeded,Magic Number
codellama_correct,(default package),DefaultCompletedCheckpointStoreTest,testNotSubsumedIfNotNeeded,Magic Number
codellama_correct,(default package),DefaultCompletedCheckpointStoreTest,testCheckpointRetention,Long Statement
codellama_correct,(default package),SinkQuerySegmentWalker,SinkQuerySegmentWalker,Long Parameter List
codellama_correct,(default package),SinkQuerySegmentWalker,getQueryRunnerForIntervals,Long Statement
