Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,StructuredRelDataType,5,1,2
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,create,9,2,2
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,getStructuredType,3,1,0
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,createWithNullability,6,2,1
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,getStructKind,3,1,0
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,getFamily,3,1,0
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,generateTypeString,19,4,2
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,computeDigest,5,1,0
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,createSqlIdentifier,3,1,1
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,createRelDataTypeComparability,12,4,1
codellama_correct,(default package),Connector,Connector,3,1,0
codellama_correct,(default package),Connector,Connector,38,6,1
codellama_correct,(default package),Connector,getProperty,6,2,1
codellama_correct,(default package),Connector,setProperty,6,2,2
codellama_correct,(default package),Connector,getAttribute,3,1,1
codellama_correct,(default package),Connector,setAttribute,3,1,2
codellama_correct,(default package),Connector,getService,3,1,0
codellama_correct,(default package),Connector,setService,3,1,1
codellama_correct,(default package),StorageService,getLocalRanges,3,1,1
codellama_correct,(default package),StorageService,getLocalPrimaryRange,3,1,0
codellama_correct,(default package),StorageService,StorageService,0,1,0
codellama_correct,(default package),FunctionParser,compileString,44,8,1
codellama_correct,(default package),FunctionParser,makeFunction,55,10,1
codellama_correct,(default package),FunctionParser,parseParams,2,1,1
codellama_correct,(default package),JDBCSampler,JDBCSampler,3,1,0
codellama_correct,(default package),JDBCSampler,sample,58,5,1
codellama_correct,(default package),JDBCSampler,getKey,3,1,0
codellama_correct,(default package),JDBCSampler,getDataFromResultSet,21,5,1
codellama_correct,(default package),JDBCSampler,getDriver,3,1,0
codellama_correct,(default package),JDBCSampler,getUrl,3,1,0
codellama_correct,(default package),JDBCSampler,getUsername,3,1,0
codellama_correct,(default package),JDBCSampler,getPassword,3,1,0
codellama_correct,(default package),JDBCSampler,getQuery,3,1,0
codellama_correct,(default package),JDBCSampler,getMaxUse,3,1,0
codellama_correct,(default package),JDBCSampler,getNumConnections,3,1,0
codellama_correct,(default package),JDBCSampler,toString,3,1,0
codellama_correct,(default package),JDBCSampler,testStarted,2,1,1
codellama_correct,(default package),JDBCSampler,testEnded,2,1,1
