Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
codellama_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,1,0,10,5,71,18,0,0,0.3,1,1
codellama_correct,(default package),Connector,26,0,8,8,93,15,0,0,0.625,0,1
codellama_correct,(default package),StorageService,22,8,3,1,32,3,0,0,1.0,5,2
codellama_correct,(default package),FunctionParser,1,0,3,0,104,19,0,0,0.6666666666666666,0,0
codellama_correct,(default package),JDBCSampler,46,0,18,15,169,26,0,0,0.8333333333333334,1,0
codellama_correct,(default package),PoolConfigGui,8,0,11,8,98,16,0,0,0.5454545454545454,0,1
codellama_correct,(default package),ConcurrentOpenHashMap,9,0,16,15,105,22,0,0,0.6875,0,0
codellama_correct,(default package),Section,3,0,0,0,5,0,0,0,-1.0,0,0
codellama_correct,(default package),ScheduleMessageService,8,0,14,13,110,22,0,0,0.2857142857142857,1,2
codellama_correct,(default package),MessageStoreConfig,46,0,0,0,48,0,0,0,-1.0,1,1
codellama_correct,(default package),BrokerOuterAPI,4,0,8,7,95,16,0,0,0.25,0,1
codellama_correct,(default package),DefaultMQPushConsumer,24,1,16,16,76,16,0,0,0.75,1,0
codellama_correct,(default package),Consumer,0,0,7,6,87,14,0,0,-1.0,1,1
codellama_correct,(default package),StatsBenchmarkConsumer,5,0,5,5,23,5,0,0,0.0,0,0
codellama_correct,(default package),AbstractUnfilteredRowIterator,5,0,5,3,26,6,0,0,0.4,0,0
codellama_correct,(default package),RowAndDeletionMergeIterator,7,0,4,3,35,7,0,0,0.5,0,0
codellama_correct,(default package),IFailureDetectionEventListener,0,0,2,0,4,2,0,0,-1.0,0,0
codellama_correct,(default package),IEndpointStateChangeSubscriber,0,0,1,0,3,1,0,0,-1.0,0,0
codellama_correct,(default package),GossipDigest,2,0,3,3,14,3,0,0,0.0,0,0
codellama_correct,(default package),GossipDigestSyn,1,0,2,2,9,2,0,0,0.0,0,0
codellama_correct,(default package),GossipTask,1,0,2,2,9,2,0,0,0.0,0,1
codellama_correct,(default package),DebuggableScheduledThreadPoolExecutor,1,0,2,2,10,2,0,0,0.0,0,2
codellama_correct,(default package),GossiperMBean,1,0,4,4,15,4,0,0,1.0,0,1
codellama_correct,(default package),ServiceConfig,24,0,19,19,84,19,0,0,0.5263157894736842,0,0
codellama_correct,(default package),WebServer,9,0,5,5,63,9,0,0,0.8,0,1
codellama_correct,(default package),ProxyRolesEnforcementTest,3,0,5,0,82,5,0,0,0.8,0,3
codellama_correct,(default package),ProxyService,19,0,8,8,89,12,0,0,0.375,1,3
codellama_correct,(default package),ProxyAuthenticationTest,5,0,15,14,73,18,0,0,0.7333333333333333,0,1
codellama_correct,(default package),BasicAuthenticationData,1,0,5,5,20,5,0,0,0.6,0,0
codellama_correct,(default package),BasicAuthentication,1,0,5,5,21,5,0,0,0.8,1,0
codellama_correct,(default package),BasicAuthenticationProvider,0,0,4,4,26,7,0,0,-1.0,1,1
codellama_correct,(default package),StreamInSession,41,0,13,13,157,29,0,0,0.15384615384615385,0,4
codellama_correct,(default package),has,11,0,0,0,13,0,0,0,-1.0,3,0
codellama_correct,(default package),StreamOutSession,59,0,13,12,123,20,0,0,0.0,0,1
codellama_correct,(default package),RemoveTest,12,1,10,10,111,14,0,0,0.2,0,7
codellama_correct,(default package),ReplicationSink,0,0,1,1,7,2,0,0,-1.0,0,3
codellama_correct,(default package),NotificationSink,1,1,1,1,13,2,0,0,0.0,0,3
codellama_correct,(default package),Gossiper,14,0,8,4,73,12,0,0,0.0,4,3
codellama_correct,(default package),GossipTask,0,0,1,1,19,2,0,0,-1.0,0,0
codellama_correct,(default package),CassandraServer,4,0,9,6,97,22,0,0,0.5555555555555556,0,2
codellama_correct,(default package),DatabaseDescriptor,46,0,0,0,50,0,0,0,-1.0,7,0
codellama_correct,(default package),TesterContext,0,0,51,51,129,51,0,0,-1.0,0,0
codellama_correct,(default package),AccessLogValve,14,0,24,24,77,24,0,0,1.0,0,0
codellama_correct,(default package),V1_AdminApiTest2,9,0,3,3,41,3,0,0,0.0,0,3
codellama_correct,(default package),AdminApiSchemaTest,6,0,7,6,45,7,0,0,1.0,0,1
codellama_correct,(default package),Foo,1,0,0,0,3,0,0,0,-1.0,1,0
codellama_correct,(default package),Foo1,2,0,0,0,4,0,0,0,-1.0,0,0
codellama_correct,(default package),DefaultCompletedCheckpointStoreTest,2,0,8,4,53,11,0,0,0.625,0,2
codellama_correct,(default package),CheckpointsCleaner,0,0,1,1,4,1,0,0,-1.0,0,0
codellama_correct,(default package),TestingStateHandleStore,1,0,5,5,18,5,0,0,0.8,1,0
codellama_correct,(default package),TestingRetrievableStateStorageHelper,1,0,2,2,9,2,0,0,0.0,0,0
codellama_correct,(default package),TestingStateHandle,1,0,3,3,11,3,0,0,0.6666666666666666,0,0
codellama_correct,(default package),CheckpointProperties,2,0,0,0,4,0,0,0,-1.0,1,0
codellama_correct,(default package),MemoryParameterOverridingAppenderatorConfig,1,0,3,3,13,3,0,0,0.6666666666666666,0,0
codellama_correct,(default package),SinkQuerySegmentWalker,11,0,3,3,32,3,0,0,0.0,0,0
codellama_correct,(default package),SinkQueryRunner,12,0,2,2,34,3,0,0,0.0,0,0
codellama_correct,(default package),TestCluster,8,0,14,14,87,19,0,0,0.21428571428571427,0,2
codellama_correct,(default package),SchemaChangeMonitor,3,0,3,3,31,5,0,0,0.6666666666666666,0,1
codellama_correct,(default package),RMContainerTokenSecretManager,5,0,10,7,81,13,0,0,0.5,0,0
codellama_correct,(default package),MasterKeyRoller,0,0,1,1,5,1,0,0,-1.0,0,0
codellama_correct,(default package),NextKeyActivator,0,0,1,1,5,1,0,0,-1.0,0,0
codellama_correct,(default package),ResponseAssertionTest,7,0,10,7,138,10,0,0,0.3,0,0
codellama_correct,(default package),AbstractCellNameType,8,0,22,21,108,30,0,0,0.6363636363636364,0,1
codellama_correct,(default package),UtilAll,7,3,9,9,77,14,0,0,1.0,1,2
codellama_correct,(default package),BaseNCodec,19,2,2,1,90,2,0,0,1.0,0,0
codellama_correct,(default package),Context,7,0,2,1,43,2,0,0,1.0,6,0
codellama_correct,(default package),Base64,0,0,0,0,2,0,0,0,-1.0,2,0
codellama_correct,(default package),Base64,9,0,6,6,33,6,0,0,0.6666666666666666,0,0
codellama_correct,(default package),AprLifecycleListener,15,0,4,2,101,11,0,0,0.5,1,0
codellama_correct,(default package),OpenSSLEngine,30,2,5,5,68,5,0,0,1.0,0,0
codellama_correct,(default package),RuntimeUtils,2,1,3,3,46,13,0,0,1.0,0,0
codellama_correct,(default package),TestCoyoteAdapter,3,2,11,9,76,13,0,0,1.0,0,1
codellama_correct,(default package),PathParamServlet,1,0,0,0,3,0,0,0,-1.0,0,0
codellama_correct,(default package),ZipkinSpanRecord,27,14,1,1,32,1,0,0,0.0,0,0
codellama_correct,(default package),Builder,0,0,2,2,35,2,0,0,-1.0,0,0
codellama_correct,(default package),FiltersrvController,11,0,18,17,92,19,0,0,0.16666666666666666,0,2
codellama_correct,(default package),Enumerator,3,0,2,1,15,2,0,0,0.0,0,1
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,1,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),ID,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),Enumerator,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),FileIOChannel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),InnerTableModel,3,0,9,9,45,10,0,0,0.3333333333333333,0,0
codellama_correct,(default package),TitlePanel,1,0,12,1,46,12,0,0,1.0,0,0
codellama_correct,(default package),InnerTableModel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),TitlePanel,0,0,0,0,2,0,0,0,-1.0,0,0
codellama_correct,(default package),CompactionParams,11,6,9,8,69,12,0,0,0.2222222222222222,0,0
codellama_correct,(default package),ContainerStatusPBImpl,27,0,22,14,145,32,0,0,0.4090909090909091,0,0
codellama_correct,(default package),StressAction,8,0,8,8,117,28,0,0,0.25,0,0
codellama_correct,(default package),Producer,1,0,2,2,18,5,0,0,0.0,1,0
codellama_correct,(default package),Consumer,3,0,3,3,29,6,0,0,0.6666666666666666,0,0
codellama_correct,(default package),Media,12,0,27,27,133,41,0,0,0.07407407407407407,0,0
codellama_correct,(default package),NettyChannel,4,0,15,15,124,30,0,0,0.0,0,0
codellama_correct,(default package),FastJsonSerializationTest,4,1,6,6,147,18,0,0,0.0,0,0
codellama_correct,(default package),EnumBak,2,0,8,8,90,8,0,0,0.25,1,1
codellama_correct,(default package),ZookeeperRegistry,6,0,10,10,103,17,0,0,0.2,0,0
codellama_correct,(default package),KVConfigManager,18,0,9,8,172,19,0,0,0.2222222222222222,1,3
codellama_correct,(default package),now,1,0,1,0,4,1,0,0,0.0,2,1
codellama_correct,(default package),StandardWrapperValve,5,0,1,1,82,9,0,0,0.0,0,1
codellama_correct,(default package),ApplicationDispatcher,10,0,9,3,88,16,0,0,0.7777777777777778,0,1
codellama_correct,(default package),StringRefAddr,1,0,2,2,9,2,0,0,0.0,0,0
codellama_correct,(default package),ContextEjb,1,0,2,2,9,2,0,0,0.0,0,0
codellama_correct,(default package),ContextEnvironment,1,0,2,2,9,2,0,0,0.0,0,0
codellama_correct,(default package),ContextLocalEjb,1,0,2,2,9,2,0,0,0.0,0,0
codellama_correct,(default package),TestClientToAMTokens,7,1,14,12,68,14,0,0,0.6428571428571429,0,1
codellama_correct,(default package),CustomProtocol,1,1,1,1,4,1,0,0,-1.0,2,0
codellama_correct,(default package),CustomSecurityInfo,0,0,4,4,16,4,0,0,-1.0,0,0
codellama_correct,(default package),CustomAM,5,0,5,4,35,5,0,0,0.4,0,1
codellama_correct,(default package),HeapMemoryTaskStorage,6,0,7,7,88,12,0,0,0.42857142857142855,0,2
codellama_correct,(default package),Overlap,0,0,1,1,5,1,0,0,-1.0,0,0
codellama_correct,(default package),Subarray,0,0,1,1,5,1,0,0,-1.0,0,0
codellama_correct,(default package),Substring,0,0,1,1,5,1,0,0,-1.0,0,0
codellama_correct,(default package),ToString,0,0,1,1,5,1,0,0,-1.0,0,0
codellama_correct,(default package),ToArray,0,0,1,1,5,1,0,0,-1.0,0,0
codellama_correct,(default package),ConcatStrings,1,0,1,1,6,1,0,0,0.0,0,0
codellama_correct,(default package),ConcatArrays,1,0,1,1,6,1,0,0,0.0,0,0
codellama_correct,(default package),ArrayContains,1,0,1,1,6,1,0,0,0.0,0,0
codellama_correct,(default package),ArrayIndexOf,1,0,1,1,6,1,0,0,0.0,0,0
codellama_correct,(default package),ArraySlice,1,0,0,0,3,0,0,0,-1.0,0,0
