Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
developer_after_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,StructuredRelDataType,5,1,2
developer_after_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,create,9,2,2
developer_after_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,getStructuredType,3,1,0
developer_after_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,createWithNullability,6,2,1
developer_after_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,getStructKind,3,1,0
developer_after_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,getFamily,3,1,0
developer_after_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,generateTypeString,16,4,2
developer_after_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,computeDigest,5,1,0
developer_after_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,createSqlIdentifier,3,1,1
developer_after_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,createRelDataTypeComparability,12,4,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,StructuredAttribute,5,1,3
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,StructuredAttribute,3,1,2
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,getName,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,getType,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,getDescription,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,copy,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,asSummaryString,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,equals,10,3,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,hashCode,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,formatString,11,3,2
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,StructuredComparision,4,1,2
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,isEquality,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,isComparison,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,Builder,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,Builder,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,Builder,4,1,2
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,attributes,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,setNullable,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,description,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,setFinal,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,setInstantiable,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,comparision,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,superType,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,build,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,StructuredType,9,1,9
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,newBuilder,3,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,newBuilder,3,1,2
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,newBuilder,3,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,getAttributes,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,isInstantiable,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,getComparision,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,getSuperType,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,getImplementationClass,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,copy,3,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,asSummaryString,7,2,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,supportsInputConversion,3,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,supportsOutputConversion,10,3,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,getDefaultConversion,6,2,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,getChildren,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,accept,3,1,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,equals,13,4,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,hashCode,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredType,getAllAttributes,8,2,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredAttribute,StructuredAttribute,5,1,3
developer_after_correct,org.apache.flink.table.types.logical,StructuredAttribute,StructuredAttribute,3,1,2
developer_after_correct,org.apache.flink.table.types.logical,StructuredAttribute,getName,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredAttribute,getType,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredAttribute,getDescription,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredAttribute,copy,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredAttribute,asSummaryString,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredAttribute,equals,10,3,1
developer_after_correct,org.apache.flink.table.types.logical,StructuredAttribute,hashCode,3,1,0
developer_after_correct,org.apache.flink.table.types.logical,StructuredAttribute,formatString,11,3,2
developer_after_correct,org.apache.flink.table.types.logical,Builder,Builder,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,Builder,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,Builder,4,1,2
developer_after_correct,org.apache.flink.table.types.logical,Builder,attributes,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,setNullable,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,description,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,setFinal,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,setInstantiable,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,comparision,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,superType,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,build,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,Connector,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,Connector,38,6,1
