Project Name,Package Name,Type Name,Code Smell
developer_before_correct,org.apache.flink.table.types.logical,StructuredType,Deficient Encapsulation
developer_before_correct,org.apache.flink.table.types.logical,StructuredType,Insufficient Modularization
developer_before_correct,org.apache.flink.table.types.logical,Builder,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,Connector,Deficient Encapsulation
developer_before_correct,org.apache.catalina.connector,Connector,Insufficient Modularization
developer_before_correct,org.apache.catalina.connector,CoyoteInputStream,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,TestSendFile,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,TestSendFile,Deficient Encapsulation
developer_before_correct,org.apache.catalina.connector,TestCoyoteAdapter,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,TestCoyoteAdapter,Deficient Encapsulation
developer_before_correct,org.apache.catalina.connector,TestCoyoteAdapter,Insufficient Modularization
developer_before_correct,org.apache.catalina.connector,PathParamServlet,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,OutputBuffer,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,OutputBuffer,Deficient Encapsulation
developer_before_correct,org.apache.catalina.connector,OutputBuffer,Insufficient Modularization
developer_before_correct,org.apache.catalina.connector,TestRequest,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,TestRequest,Deficient Encapsulation
developer_before_correct,org.apache.catalina.connector,Bug37794Servlet,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,SimpleHttpClient,Deficient Encapsulation
developer_before_correct,org.apache.catalina.connector,TestMaxConnections,Deficient Encapsulation
developer_before_correct,org.apache.catalina.connector,TestMaxConnections,Cyclic-Dependent Modularization
developer_before_correct,org.apache.catalina.connector,ConnectThread,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,SimpleServlet,Cyclic-Dependent Modularization
developer_before_correct,org.apache.catalina.connector,TestSendFile,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,TestSendFile,Deficient Encapsulation
developer_before_correct,org.apache.catalina.connector,WritingServlet,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,Bug60409Servlet,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,RequestExecutor,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,Connector,Unutilized Abstraction
developer_before_correct,org.apache.catalina.connector,Connector,Deficient Encapsulation
developer_before_correct,org.apache.catalina.connector,Connector,Insufficient Modularization
developer_before_correct,org.apache.catalina.storeconfig,ConnectorStoreAppender,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,StorageService,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,StorageService,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,StorageService,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,StorageService,Insufficient Modularization
developer_before_correct,org.apache.cassandra.service,AbstractWriteResponseHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,IndexScanVerbHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,RemoveTest,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,RemoveTest,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,ReplicationSink,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,NotificationSink,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,NotificationSink,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,StorageLoadBalancer,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,StorageLoadBalancer,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,LoadBalancer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,MoveMessageVerbHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,ConsistencyChecker,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,DigestResponseHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,DataRepairHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,CassandraServer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,CassandraServer,Insufficient Modularization
developer_before_correct,org.apache.cassandra.service,StorageServiceMBean,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,StorageServiceMBean,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,StorageServiceMBean,Insufficient Modularization
developer_before_correct,org.apache.cassandra.service,CacheService,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,CacheService,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,CacheService,Insufficient Modularization
developer_before_correct,org.apache.cassandra.service,CounterCacheSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,RowCacheSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,KeyCacheSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,StorageService,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,StorageService,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,StorageService,Insufficient Modularization
developer_before_correct,org.apache.cassandra.service,DigestMismatchException,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,AntiEntropyService,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,AntiEntropyService,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,AntiEntropyService,Insufficient Modularization
developer_before_correct,org.apache.cassandra.service,Validator,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,Validator,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,ValidatorSerializer,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,TreeResponseVerbHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,TreeRequest,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,TreeRequest,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,TreeRequestSerializer,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,RepairSession,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,RepairSession,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,RepairSession,Insufficient Modularization
developer_before_correct,org.apache.cassandra.service,RepairJob,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,Differencer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,Differencer,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,TreeResponse,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,RepairFuture,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,RepairFuture,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,RequestCoordinator,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,Order,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.service,SequentialOrder,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,ParallelOrder,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,SnapshotVerbHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,StorageService,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.service,StorageService,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.service,StorageService,Insufficient Modularization
developer_before_correct,org.apache.cassandra.gms,Gossiper,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.gms,Gossiper,Insufficient Modularization
developer_before_correct,org.apache.cassandra.gms,GossipTimerTask,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,GossipDigestSynVerbHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,GossipDigestAckVerbHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,GossipDigestAck2VerbHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,Gossiper,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,Gossiper,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.gms,Gossiper,Insufficient Modularization
developer_before_correct,org.apache.cassandra.gms,GossipTask,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,Gossiper,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,Gossiper,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.gms,Gossiper,Insufficient Modularization
developer_before_correct,org.apache.cassandra.gms,GossipTask,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,VersionedValue,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.gms,VersionedValue,Insufficient Modularization
developer_before_correct,org.apache.cassandra.gms,VersionedValueFactory,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,VersionedValueSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,VersionedValue,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,VersionedValue,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.gms,VersionedValue,Insufficient Modularization
developer_before_correct,org.apache.cassandra.gms,VersionedValueFactory,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,VersionedValueSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,GossipDigestSyn,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.gms,GossipDigestSynSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,Gossiper,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.gms,Gossiper,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.gms,Gossiper,Insufficient Modularization
developer_before_correct,org.apache.cassandra.gms,GossipTimerTask,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,CommitLogTest,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,PartitionColumns,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,PartitionColumns,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,PartitionColumns,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,Builder,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,Memtable,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,Memtable,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,RowIteratorFactory,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,ConvertToColumnIterator,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,ReadContext,Unnecessary Abstraction
developer_before_correct,org.apache.cassandra.db,BinaryVerbHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,DataFileVerbHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,HintedHandOffManager,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,HintedHandOffManager,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,Table,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,Table,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,Table,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,TableMetadata,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,Table,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,Table,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,Table,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,ColumnFamilyStoreTest,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,ColumnsTest,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,ColumnsCheck,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,AbstractColumnContainer,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,AbstractColumnContainer,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,DeletionInfo,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,CounterMutationSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SuperColumn,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,SuperColumnSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,RowMutation,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,RowMutation,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,RowMutation,Insufficient Modularization
developer_before_correct,org.apache.cassandra.db,RowMutationSerializer,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,CounterMutationTest,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,ColumnIndex,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,ColumnIndex,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,Builder,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,RowIndexEntry,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,RowIndexEntry,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,IndexSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,Serializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,Serializer,Cyclic-Dependent Modularization
developer_before_correct,org.apache.cassandra.db,IndexedEntry,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,ReadVerbHandler,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,ReadContext,Unnecessary Abstraction
developer_before_correct,org.apache.cassandra.db,ReadContext,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SliceFromReadCommand,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,SliceFromReadCommandSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,SliceByNamesReadCommand,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,SliceByNamesReadCommandSerializer,Unutilized Abstraction
developer_before_correct,org.apache.cassandra.db,TypeSizes,Multifaceted Abstraction
developer_before_correct,org.apache.cassandra.db,TypeSizes,Deficient Encapsulation
developer_before_correct,org.apache.cassandra.db,NativeDBTypeSizes,Unutilized Abstraction
