Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
developer_before_correct,org.apache.flink.table.planner.plan.schema,StructuredRelDataType,1,0,10,5,74,18,0,0,0.3,1,3
developer_before_correct,org.apache.flink.table.types.logical,StructuredType,24,1,40,38,227,50,0,0,0.075,3,2
developer_before_correct,org.apache.flink.table.types.logical,StructuredAttribute,4,0,8,8,42,10,0,0,0.0,3,1
developer_before_correct,org.apache.flink.table.types.logical,Builder,9,0,11,11,57,11,0,0,0.0,0,1
developer_before_correct,org.apache.catalina.connector,Connector,27,1,67,59,695,98,0,0,0.08955223880597014,5,3
developer_before_correct,org.apache.catalina.connector,CoyoteInputStream,1,0,14,11,158,24,0,0,0.21428571428571427,0,0
developer_before_correct,org.apache.catalina.connector,TestSendFile,4,2,4,3,87,12,0,0,0.0,0,2
developer_before_correct,org.apache.catalina.connector,WritingServlet,2,0,2,1,34,5,0,0,0.0,2,0
developer_before_correct,org.apache.catalina.connector,TestCoyoteAdapter,8,2,30,23,214,38,0,0,0.3,0,4
developer_before_correct,org.apache.catalina.connector,PathParamServlet,1,0,1,0,12,2,0,0,0.0,0,0
developer_before_correct,org.apache.catalina.connector,PathInfoServlet,2,0,2,1,10,2,0,0,0.0,1,0
developer_before_correct,org.apache.catalina.connector,AsyncServlet,3,0,4,3,42,6,0,0,0.0,1,0
developer_before_correct,org.apache.catalina.connector,OutputBuffer,18,2,34,31,401,73,0,0,0.058823529411764705,0,2
developer_before_correct,org.apache.catalina.connector,TestRequest,12,4,17,15,188,25,0,0,0.47058823529411764,0,2
developer_before_correct,org.apache.catalina.connector,Bug37794Servlet,0,0,1,0,14,2,0,0,-1.0,0,0
developer_before_correct,org.apache.catalina.connector,Bug37794Client,0,0,2,1,45,5,0,1,-1.0,1,1
developer_before_correct,org.apache.catalina.connector,SimpleHttpClient,12,4,13,13,91,17,2,0,0.15384615384615385,3,0
developer_before_correct,org.apache.catalina.connector,TestMaxConnections,6,2,9,4,96,13,0,0,0.4444444444444444,2,5
developer_before_correct,org.apache.catalina.connector,ConnectThread,0,0,1,1,10,1,0,0,-1.0,0,1
developer_before_correct,org.apache.catalina.connector,TestClient,0,0,2,1,21,2,0,1,-1.0,2,0
developer_before_correct,org.apache.catalina.connector,SimpleServlet,3,0,4,1,29,5,0,0,0.0,2,2
developer_before_correct,org.apache.catalina.connector,TestSendFile,9,2,9,5,161,20,0,0,0.4444444444444444,0,2
developer_before_correct,org.apache.catalina.connector,WritingServlet,2,0,2,1,34,5,0,0,0.0,0,0
developer_before_correct,org.apache.catalina.connector,Bug60409Servlet,2,0,2,0,32,4,0,0,0.0,0,0
developer_before_correct,org.apache.catalina.connector,RequestExecutor,3,0,2,1,25,2,0,0,0.0,0,0
developer_before_correct,org.apache.catalina.connector,Connector,31,1,81,73,769,115,0,0,0.35802469135802467,0,0
developer_before_correct,org.apache.catalina.storeconfig,ConnectorStoreAppender,1,0,9,5,194,39,0,0,0.0,0,1
developer_before_correct,org.apache.cassandra.service,StorageService,23,11,92,67,956,226,0,1,0.13043478260869565,49,6
developer_before_correct,org.apache.cassandra.service,AbstractWriteResponseHandler,5,0,5,4,34,7,0,0,0.6,0,2
developer_before_correct,org.apache.cassandra.service,ReadResponseResolver,4,0,9,8,108,27,0,0,0.0,3,3
developer_before_correct,org.apache.cassandra.service,IndexScanVerbHandler,1,0,1,1,17,2,0,0,0.0,0,1
developer_before_correct,org.apache.cassandra.service,RemoveTest,7,1,10,10,110,14,0,0,0.2,0,6
developer_before_correct,org.apache.cassandra.service,ReplicationSink,0,0,1,1,7,2,0,0,-1.0,0,2
developer_before_correct,org.apache.cassandra.service,NotificationSink,1,1,1,1,15,2,0,0,0.0,0,3
developer_before_correct,org.apache.cassandra.service,StorageLoadBalancer,8,1,19,11,136,33,0,0,0.2631578947368421,4,4
developer_before_correct,org.apache.cassandra.service,LoadBalancer,0,0,2,1,10,2,0,0,-1.0,0,0
developer_before_correct,org.apache.cassandra.service,MoveMessageVerbHandler,0,0,1,1,9,2,0,0,-1.0,0,1
developer_before_correct,org.apache.cassandra.service,ConsistencyChecker,10,0,7,6,86,17,0,0,0.0,0,4
developer_before_correct,org.apache.cassandra.service,DigestResponseHandler,2,0,1,1,26,6,0,0,0.0,0,1
developer_before_correct,org.apache.cassandra.service,DataRepairHandler,2,0,3,3,24,5,0,0,0.0,0,4
developer_before_correct,org.apache.cassandra.service,CassandraServer,4,0,27,22,344,79,0,0,0.2962962962962963,0,2
developer_before_correct,org.apache.cassandra.service,StorageServiceMBean,0,0,10,10,26,10,3,0,-1.0,0,0
developer_before_correct,org.apache.cassandra.service,StorageServiceMBean,0,0,50,50,201,50,0,0,-1.0,0,0
developer_before_correct,org.apache.cassandra.service,CacheService,7,5,37,31,264,68,0,0,0.2702702702702703,3,7
developer_before_correct,org.apache.cassandra.service,CounterCacheSerializer,0,0,3,3,42,12,0,0,-1.0,0,3
developer_before_correct,org.apache.cassandra.service,RowCacheSerializer,0,0,3,3,24,4,0,0,-1.0,0,3
developer_before_correct,org.apache.cassandra.service,KeyCacheSerializer,0,0,3,2,35,9,0,0,-1.0,0,3
developer_before_correct,org.apache.cassandra.service,StorageService,30,16,80,66,784,170,0,1,0.3625,0,7
developer_before_correct,org.apache.cassandra.service,DigestMismatchException,0,0,1,1,5,1,0,0,-1.0,0,1
developer_before_correct,org.apache.cassandra.service,AntiEntropyService,47,18,84,62,674,134,0,0,0.05952380952380952,8,16
developer_before_correct,org.apache.cassandra.service,Validator,8,4,12,9,113,21,0,0,0.16666666666666666,5,6
developer_before_correct,org.apache.cassandra.service,ValidatorSerializer,0,0,3,3,18,3,0,0,-1.0,2,2
developer_before_correct,org.apache.cassandra.service,TreeRequestVerbHandler,0,0,1,1,16,1,0,0,-1.0,2,4
developer_before_correct,org.apache.cassandra.service,TreeResponseVerbHandler,0,0,1,1,10,1,0,0,-1.0,0,3
developer_before_correct,org.apache.cassandra.service,CFPair,0,0,1,1,9,1,0,0,-1.0,3,0
developer_before_correct,org.apache.cassandra.service,TreeRequest,5,5,8,8,50,9,0,0,0.0,9,3
developer_before_correct,org.apache.cassandra.service,TreeRequestSerializer,0,0,3,3,20,3,0,0,-1.0,2,2
developer_before_correct,org.apache.cassandra.service,RepairSession,23,5,35,27,293,60,0,0,0.2571428571428571,2,7
developer_before_correct,org.apache.cassandra.service,RepairJob,6,0,11,10,96,18,0,0,0.36363636363636365,0,4
developer_before_correct,org.apache.cassandra.service,Differencer,4,4,5,3,46,9,0,0,0.4,0,2
developer_before_correct,org.apache.cassandra.service,TreeResponse,2,2,1,0,8,1,0,0,0.0,4,0
developer_before_correct,org.apache.cassandra.service,RepairFuture,1,1,1,0,7,1,0,0,0.0,1,1
developer_before_correct,org.apache.cassandra.service,RequestCoordinator,4,0,17,13,61,20,0,0,0.29411764705882354,7,2
developer_before_correct,org.apache.cassandra.service,Order,1,0,4,3,9,4,2,0,1.0,2,1
developer_before_correct,org.apache.cassandra.service,SequentialOrder,1,0,4,3,20,6,0,1,0.5,0,1
developer_before_correct,org.apache.cassandra.service,ParallelOrder,1,0,4,3,16,5,0,1,0.5,0,1
developer_before_correct,org.apache.cassandra.service,SnapshotVerbHandler,1,0,1,1,10,2,0,0,0.0,0,1
developer_before_correct,org.apache.cassandra.service,StorageService,20,10,86,65,832,187,0,1,0.2441860465116279,0,7
developer_before_correct,org.apache.cassandra.gms,Gossiper,19,2,46,17,602,139,0,0,0.043478260869565216,14,5
developer_before_correct,org.apache.cassandra.gms,GossipTimerTask,0,0,1,1,20,4,0,0,-1.0,0,2
developer_before_correct,org.apache.cassandra.gms,GossipDigestSynVerbHandler,1,0,2,1,49,8,0,0,0.0,0,3
developer_before_correct,org.apache.cassandra.gms,GossipDigestAckVerbHandler,1,0,1,1,31,6,0,0,0.0,0,2
developer_before_correct,org.apache.cassandra.gms,GossipDigestAck2VerbHandler,1,0,1,1,19,2,0,0,0.0,0,2
developer_before_correct,org.apache.cassandra.gms,Gossiper,20,4,57,32,663,161,0,0,0.21052631578947367,0,6
developer_before_correct,org.apache.cassandra.gms,GossipTask,0,0,1,1,23,5,0,0,-1.0,0,4
developer_before_correct,org.apache.cassandra.gms,Gossiper,16,2,44,16,526,128,0,0,0.1590909090909091,0,5
developer_before_correct,org.apache.cassandra.gms,GossipTask,0,0,1,1,21,4,0,0,-1.0,0,2
developer_before_correct,org.apache.cassandra.gms,VersionedValue,14,13,22,20,94,22,0,0,0.4090909090909091,10,2
developer_before_correct,org.apache.cassandra.gms,VersionedValueFactory,1,0,16,16,51,16,0,0,0.5,0,2
developer_before_correct,org.apache.cassandra.gms,VersionedValueSerializer,0,0,2,2,11,2,0,0,-1.0,0,1
developer_before_correct,org.apache.cassandra.gms,VersionedValue,15,14,27,23,121,30,0,0,0.2962962962962963,0,3
developer_before_correct,org.apache.cassandra.gms,VersionedValueFactory,1,0,18,18,57,18,0,0,0.7222222222222222,0,2
developer_before_correct,org.apache.cassandra.gms,VersionedValueSerializer,0,0,4,3,28,7,0,0,-1.0,0,3
developer_before_correct,org.apache.cassandra.gms,GossipDigestSyn,3,1,2,1,15,2,0,0,0.0,3,0
developer_before_correct,org.apache.cassandra.gms,GossipDigestSerializationHelper,0,0,3,0,17,6,0,0,-1.0,1,1
developer_before_correct,org.apache.cassandra.gms,GossipDigestSynSerializer,0,0,3,3,14,3,0,0,-1.0,0,3
developer_before_correct,org.apache.cassandra.gms,Gossiper,15,2,42,14,503,123,0,0,0.16666666666666666,0,5
developer_before_correct,org.apache.cassandra.gms,GossipTimerTask,0,0,1,1,21,4,0,0,-1.0,0,2
developer_before_correct,org.apache.cassandra.db,CommitLogTest,0,0,1,1,22,2,0,0,-1.0,0,2
