Project Name,Package Name,Type Name,Code Smell
finetuned_correct2,org.apache.flink.table.types,LogicalTypesTest,Unutilized Abstraction
finetuned_correct2,org.apache.flink.table.types,UnresolvedUserDefinedType,Unutilized Abstraction
finetuned_correct2,org.apache.flink.table.types,inside,Unutilized Abstraction
finetuned_correct2,org.apache.flink.table.types,to,Unutilized Abstraction
finetuned_correct2,org.apache.flink.table.types,to,Unutilized Abstraction
finetuned_correct2,org.apache.flink.table.types.logical,and,Broken Modularization
finetuned_correct2,org.apache.flink.table.types.logical,and,Cyclic-Dependent Modularization
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,Insufficient Modularization
finetuned_correct2,org.apache.flink.table.types.logical,Builder,Unutilized Abstraction
finetuned_correct2,org.apache.flink.table.types.logical,LogicalTypeVisitor,Unutilized Abstraction
finetuned_correct2,org.apache.flink.table.types.logical,BaseLogicalTypeVisitorImpl,Unutilized Abstraction
finetuned_correct2,org.apache.flink.table.types.logical,NumberTypeVisitorImpl,Unutilized Abstraction
finetuned_correct2,org.apache.flink.table.types.logical,PrimitiveLogicalTypeVisitorImpl,Unutilized Abstraction
finetuned_correct2,org.apache.flink.table.types.logical,PrimitiveLogicalTypeVisitorImpl,Rebellious Hierarchy
finetuned_correct2,org.apache.flink.table.types.logical,to,Cyclic-Dependent Modularization
finetuned_correct2,org.apache.jmeter.protocol.http.control.gui,AccessLogSamplerGui,Unutilized Abstraction
finetuned_correct2,org.apache.catalina.connector,TestSendFile,Unutilized Abstraction
finetuned_correct2,org.apache.catalina.connector,TestSendFile,Deficient Encapsulation
finetuned_correct2,org.apache.catalina.connector,ResponseRecorder,Unutilized Abstraction
finetuned_correct2,org.apache.catalina.connector,CoyoteAdapter,Unutilized Abstraction
finetuned_correct2,org.apache.catalina.connector,CoyoteAdapter,Deficient Encapsulation
finetuned_correct2,org.apache.catalina.connector,TestRequest,Multifaceted Abstraction
finetuned_correct2,org.apache.catalina.connector,TestRequest,Unutilized Abstraction
finetuned_correct2,org.apache.catalina.connector,Bug37794Servlet,Unutilized Abstraction
finetuned_correct2,org.apache.catalina.connector,Bug37794Client,Broken Hierarchy
finetuned_correct2,org.apache.catalina.connector,TestSendFile,Unutilized Abstraction
finetuned_correct2,org.apache.catalina.connector,TestSendFile,Deficient Encapsulation
finetuned_correct2,org.apache.catalina.connector,WritingServlet,Unutilized Abstraction
finetuned_correct2,org.apache.catalina.connector,Bug60409Servlet,Unutilized Abstraction
