Project Name,Package Name,Type Name,Method Name,Code Smell
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,attributes,Long Statement
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,build,Long Statement
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,StructuredType,Long Parameter List
finetuned_correct2,org.apache.flink.table.types.logical,Builder,attributes,Long Statement
finetuned_correct2,org.apache.flink.table.types.logical,Builder,build,Long Statement
finetuned_correct2,org.apache.jmeter.protocol.http.control.gui,AccessLogSamplerGui,init,Magic Number
finetuned_correct2,org.apache.jmeter.protocol.http.control.gui,AccessLogSamplerGui,init,Magic Number
finetuned_correct2,org.apache.jmeter.protocol.http.control.gui,AccessLogSamplerGui,init,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestSendFile,testSendFile,Long Statement
finetuned_correct2,org.apache.catalina.connector,TestSendFile,generateFile,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestSendFile,doGet,Magic Number
finetuned_correct2,org.apache.catalina.connector,WritingServlet,doGet,Magic Number
finetuned_correct2,org.apache.catalina.connector,ResponseRecorder,append,Magic Number
finetuned_correct2,org.apache.catalina.connector,ResponseRecorder,append,Magic Number
finetuned_correct2,org.apache.catalina.connector,CoyoteAdapter,asyncDispatch,Complex Conditional
finetuned_correct2,org.apache.catalina.connector,CoyoteAdapter,asyncDispatch,Complex Method
finetuned_correct2,org.apache.catalina.connector,CoyoteAdapter,asyncDispatch,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestRequest,connect,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestRequest,testBug37794,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestRequest,testBug37794,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestRequest,testBug37794,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestRequest,testBug37794,Magic Number
finetuned_correct2,org.apache.catalina.connector,SimpleHttpClient,connect,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestSendFile,generateFile,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestSendFile,doGet,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestSendFile,testBug60409,Long Statement
finetuned_correct2,org.apache.catalina.connector,TestSendFile,testBug60409,Long Statement
finetuned_correct2,org.apache.catalina.connector,TestSendFile,testBug60409,Long Statement
finetuned_correct2,org.apache.catalina.connector,TestSendFile,testBug60409,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestSendFile,testBug60409,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestSendFile,doGet,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestSendFile,doGet,Magic Number
finetuned_correct2,org.apache.catalina.connector,TestSendFile,run,Magic Number
finetuned_correct2,org.apache.catalina.connector,WritingServlet,doGet,Magic Number
finetuned_correct2,org.apache.catalina.connector,Bug60409Servlet,doGet,Magic Number
finetuned_correct2,org.apache.catalina.connector,Bug60409Servlet,doGet,Magic Number
finetuned_correct2,org.apache.catalina.connector,RequestExecutor,run,Magic Number
finetuned_correct2,org.apache.catalina.storeconfig,ConnectorStoreAppender,printAttributes,Complex Conditional
finetuned_correct2,org.apache.catalina.storeconfig,ConnectorStoreAppender,printAttributes,Complex Method
finetuned_correct2,org.apache.catalina.storeconfig,ConnectorStoreAppender,printAttributes,Long Parameter List
finetuned_correct2,org.apache.catalina.storeconfig,ConnectorStoreAppender,getPropertyKeys,Complex Conditional
finetuned_correct2,org.apache.catalina.storeconfig,ConnectorStoreAppender,getPropertyKeys,Complex Conditional
finetuned_correct2,org.apache.catalina.storeconfig,ConnectorStoreAppender,getPropertyKeys,Complex Conditional
finetuned_correct2,org.apache.catalina.storeconfig,ConnectorStoreAppender,getPropertyKeys,Complex Method
finetuned_correct2,org.apache.catalina.storeconfig,ConnectorStoreAppender,getPropertyKeys,Long Statement
finetuned_correct2,org.apache.catalina.storeconfig,ConnectorStoreAppender,getPropertyKeys,Long Statement
finetuned_correct2,org.apache.catalina.storeconfig,ConnectorStoreAppender,getPropertyKeys,Long Statement
finetuned_correct2,org.apache.catalina.storeconfig,ConnectorStoreAppender,getCatalinaBase,Empty catch clause
finetuned_correct2,(default package),DefaultMQProducer,queryMessage,Long Parameter List
finetuned_correct2,(default package),PullAPIWrapper,processPullResult,Complex Method
finetuned_correct2,(default package),DefaultMQPullConsumer,queryMessage,Long Parameter List
finetuned_correct2,(default package),DefaultMQPullConsumer,getConsumerTimeoutMillisWhenSuspend,Long Identifier
finetuned_correct2,(default package),DefaultMQPullConsumer,setConsumerTimeoutMillisWhenSuspend,Long Identifier
finetuned_correct2,(default package),AxisGraph,paintComponent,Complex Conditional
finetuned_correct2,(default package),AxisGraph,drawSample,Complex Method
finetuned_correct2,(default package),AxisGraph,drawSample,Long Parameter List
finetuned_correct2,(default package),AxisGraph,drawSample,Long Statement
finetuned_correct2,(default package),AxisGraph,drawSample,Magic Number
finetuned_correct2,(default package),AxisGraph,drawSample,Magic Number
finetuned_correct2,(default package),AxisGraph,drawSample,Magic Number
finetuned_correct2,(default package),AxisGraph,drawSample,Magic Number
finetuned_correct2,(default package),DefaultApplicationDeployer,DefaultApplicationDeployer,Long Statement
finetuned_correct2,(default package),DefaultApplicationDeployer,DefaultApplicationDeployer,Long Statement
finetuned_correct2,(default package),PullAPIWrapper,processPullResult,Complex Conditional
finetuned_correct2,(default package),PullAPIWrapper,pullKernelImpl,Long Parameter List
finetuned_correct2,(default package),PullAPIWrapper,pullKernelImpl,Long Statement
finetuned_correct2,(default package),AbstractDelegationTokenSecretManager,AbstractDelegationTokenSecretManager,Magic Number
finetuned_correct2,(default package),AbstractDelegationTokenSecretManager,AbstractDelegationTokenSecretManager,Magic Number
finetuned_correct2,(default package),AbstractDelegationTokenSecretManager,createToken,Long Statement
finetuned_correct2,(default package),AbstractDelegationTokenSecretManager,createToken,Magic Number
finetuned_correct2,(default package),AbstractDelegationTokenSecretManager,createToken,Magic Number
finetuned_correct2,(default package),AbstractRocksDBState,AbstractRocksDBState,Long Parameter List
finetuned_correct2,(default package),AbstractRocksDBState,AbstractRocksDBState,Long Statement
finetuned_correct2,(default package),AbstractRocksDBState,AbstractRocksDBState,Magic Number
finetuned_correct2,(default package),AbstractRocksDBState,writeKeyWithGroupAndNamespace,Long Parameter List
finetuned_correct2,(default package),AbstractRocksDBState,writeCurrentKeyWithGroupAndNamespace,Long Statement
finetuned_correct2,(default package),RocksDBReducingState,RocksDBReducingState,Long Parameter List
finetuned_correct2,(default package),RocksDBReducingState,mergeNamespaces,Complex Method
finetuned_correct2,(default package),RocksDBReducingState,create,Long Statement
finetuned_correct2,(default package),LocalDataSegmentPusher,push,Long Statement
finetuned_correct2,(default package),LocalDataSegmentPusher,push,Long Statement
finetuned_correct2,(default package),AdminBrokerProcessor,processRequest,Long Statement
finetuned_correct2,(default package),AdminBrokerProcessor,callConsumer,Long Statement
finetuned_correct2,(default package),AdminBrokerProcessor,processRequest,Long Statement
finetuned_correct2,(default package),AdminBrokerProcessor,consumeMessageDirectly,Long Statement
finetuned_correct2,(default package),AdminBrokerProcessor,consumeMessageDirectly,Long Statement
finetuned_correct2,(default package),AdminBrokerProcessor,searchOffsetByTimestamp,Long Statement
finetuned_correct2,(default package),AdminBrokerProcessor,queryTopicConsumeByWho,Long Statement
finetuned_correct2,(default package),AdminBrokerProcessor,queryTopicConsumeByWho,Long Statement
finetuned_correct2,(default package),AdminBrokerProcessor,callConsumer,Long Statement
finetuned_correct2,(default package),MQClientManager,MQClientManager,Long Identifier
finetuned_correct2,(default package),MQClientManager,MQClientManager,Long Statement
finetuned_correct2,(default package),MQClientManager,MQClientManager,Long Statement
finetuned_correct2,(default package),MQClientManager,MQClientManager,Long Statement
finetuned_correct2,(default package),MQClientManager,MQClientManager,Magic Number
finetuned_correct2,(default package),MQClientManager,MQClientManager,Magic Number
finetuned_correct2,(default package),MQClientManager,MQClientManager,Magic Number
finetuned_correct2,(default package),OutputHandler,createStreamOutput,Long Statement
finetuned_correct2,(default package),WebServer,WebServer,Long Statement
finetuned_correct2,(default package),WebServer,WebServer,Magic Number
finetuned_correct2,(default package),WebServer,start,Long Statement
finetuned_correct2,(default package),BrokerServiceLookupTest,testSplitUnloadLookupTest,Magic Number
finetuned_correct2,(default package),BrokerServiceLookupTest,testModularLoadManagerSplitBundle,Magic Number
finetuned_correct2,(default package),NamespaceService,unloadBundle,Long Statement
finetuned_correct2,(default package),ExecutionVertex,ExecutionVertex,Long Parameter List
finetuned_correct2,(default package),ExecutionVertex,ExecutionVertex,Long Statement
finetuned_correct2,(default package),ExecutionVertex,ExecutionVertex,Magic Number
finetuned_correct2,(default package),ExecutionVertex,ExecutionVertex,Long Parameter List
finetuned_correct2,(default package),ExecutionVertex,ExecutionVertex,Magic Number
finetuned_correct2,(default package),ExecutionVertex,duplicateVertex,Long Statement
