Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
finetuned_correct2,org.apache.flink.table.types,LogicalTypesTest,UnresolvedUserDefinedType,3,1,1
finetuned_correct2,org.apache.flink.table.types,LogicalTypesTest,resolve,3,1,1
finetuned_correct2,org.apache.flink.table.types,LogicalTypesTest,assertEquals,0,1,0
finetuned_correct2,org.apache.flink.table.types,UnresolvedUserDefinedType,UnresolvedUserDefinedType,3,1,1
finetuned_correct2,org.apache.flink.table.types,UnresolvedUserDefinedType,resolve,3,1,1
finetuned_correct2,org.apache.flink.table.types,inside,assertEquals,0,1,0
finetuned_correct2,org.apache.flink.table.types,to,assertEquals,0,1,0
finetuned_correct2,org.apache.flink.table.types,to,assertEquals,0,1,0
finetuned_correct2,org.apache.flink.table.types,to,assertEquals,0,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,StructuredAttribute,5,1,3
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,StructuredAttribute,3,1,2
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,getName,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,getType,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,getDescription,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,copy,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,equals,10,3,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,hashCode,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,StructuredComparision,4,1,2
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,isEquality,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,isComparison,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,Builder,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,Builder,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,Builder,4,1,2
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,attributes,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,setNullable,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,description,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,setFinal,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,setInstantiable,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,comparision,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,superType,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,build,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,StructuredType,8,1,9
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,newBuilder,3,1,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,newBuilder,3,1,2
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,newBuilder,3,1,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,getAttributes,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,isInstantiable,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,getComparision,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,getSuperType,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredAttribute,StructuredAttribute,5,1,3
finetuned_correct2,org.apache.flink.table.types.logical,StructuredAttribute,StructuredAttribute,3,1,2
finetuned_correct2,org.apache.flink.table.types.logical,StructuredAttribute,getName,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredAttribute,getType,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredAttribute,getDescription,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredAttribute,copy,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,StructuredAttribute,equals,10,3,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredAttribute,hashCode,3,1,0
finetuned_correct2,org.apache.flink.table.types.logical,Builder,Builder,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,Builder,Builder,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,Builder,Builder,4,1,2
finetuned_correct2,org.apache.flink.table.types.logical,Builder,attributes,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,Builder,setNullable,4,1,1
finetuned_correct2,org.apache.flink.table.types.logical,Builder,description,4,1,1
