Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
finetuned_correct2,org.apache.flink.table.types,LogicalTypesTest,118,0,3,2,137,3,0,0,0.6666666666666666,0,1
finetuned_correct2,org.apache.flink.table.types,UnresolvedUserDefinedType,2,0,2,2,10,2,0,0,0.0,0,0
finetuned_correct2,org.apache.flink.table.types,inside,99,0,1,0,108,1,0,0,0.0,0,1
finetuned_correct2,org.apache.flink.table.types,to,89,0,1,0,96,1,0,0,0.0,6,1
finetuned_correct2,org.apache.flink.table.types,to,42,0,1,0,47,1,0,0,0.0,0,0
finetuned_correct2,org.apache.flink.table.types,to,11,0,1,0,14,1,0,0,0.0,0,0
finetuned_correct2,org.apache.flink.table.types.logical,and,13,0,0,0,15,0,0,0,-1.0,8,1
finetuned_correct2,org.apache.flink.table.types.logical,StructuredType,24,0,30,28,164,32,0,0,0.06666666666666667,2,2
finetuned_correct2,org.apache.flink.table.types.logical,StructuredAttribute,4,0,8,8,39,10,0,0,0.0,2,1
finetuned_correct2,org.apache.flink.table.types.logical,Builder,9,0,11,11,57,11,0,0,0.0,0,1
finetuned_correct2,org.apache.flink.table.types.logical,LogicalTypeVisitor,0,0,4,0,10,4,3,0,-1.0,0,0
finetuned_correct2,org.apache.flink.table.types.logical,BaseLogicalTypeVisitorImpl,0,0,7,7,16,7,0,1,-1.0,0,0
finetuned_correct2,org.apache.flink.table.types.logical,NumberTypeVisitorImpl,0,0,6,6,14,6,0,1,-1.0,0,0
finetuned_correct2,org.apache.flink.table.types.logical,PrimitiveLogicalTypeVisitorImpl,46,0,6,5,59,6,0,1,1.0,0,2
finetuned_correct2,org.apache.flink.table.types.logical,to,30,0,1,1,32,1,0,0,-1.0,3,2
finetuned_correct2,org.apache.jmeter.protocol.http.control.gui,AccessLogSamplerGui,15,0,8,5,86,11,0,0,0.25,0,2
finetuned_correct2,org.apache.catalina.connector,Connector,109,0,2,2,146,7,0,0,1.0,3,3
finetuned_correct2,org.apache.catalina.connector,TestSendFile,4,2,4,3,78,11,0,0,0.0,0,0
finetuned_correct2,org.apache.catalina.connector,WritingServlet,2,0,2,1,30,4,0,0,0.0,1,0
finetuned_correct2,org.apache.catalina.connector,ResponseRecorder,3,0,9,5,48,14,0,0,0.2222222222222222,0,0
finetuned_correct2,org.apache.catalina.connector,CoyoteAdapter,5,1,3,3,85,19,0,0,1.0,0,2
finetuned_correct2,org.apache.catalina.connector,TestRequest,18,0,12,4,87,16,0,0,0.8333333333333334,0,2
finetuned_correct2,org.apache.catalina.connector,Bug37794Servlet,0,0,1,0,11,2,0,0,-1.0,0,0
finetuned_correct2,org.apache.catalina.connector,Bug37794Client,0,0,1,1,14,4,0,1,-1.0,1,0
finetuned_correct2,org.apache.catalina.connector,SimpleHttpClient,0,0,6,2,21,6,1,0,-1.0,1,0
finetuned_correct2,org.apache.catalina.connector,TestSendFile,9,2,9,5,163,20,0,0,0.4444444444444444,0,1
finetuned_correct2,org.apache.catalina.connector,WritingServlet,2,0,2,1,34,5,0,0,0.0,0,0
